,importance,stddev,p_value,n,p99_high,p99_low
CUR_YEAR_COR_DMND_DPS_DAY_AVG_BAL,0.15133333333333335,0.0037859388972001857,0.00010427756375511429,3,0.17302718305111903,0.12963948361554767
CUR_MON_COR_DPS_MON_DAY_AVG_BAL,0.10533333333333339,0.00929157324317756,0.0012918436063515514,3,0.1585750783938148,0.052091588272852
CUR_YEAR_COR_DPS_YEAR_DAY_AVG_INCR,0.04666666666666671,0.0015275252316519481,0.00017847582221297613,3,0.05541955563697988,0.03791377769635354
ICO_CUR_MON_ACM_TRX_AMT,0.012666666666666678,0.005773502691896262,0.031399557516359415,3,0.04574947733639361,-0.02041614400306025
CUR_YEAR_MON_AGV_TRX_CNT,0.008666666666666675,0.004725815626252613,0.04322656019790075,3,0.03574611426834476,-0.018412780935011405
LAST_12_MON_COR_DPS_TM_PNT_BAL_PEAK_VAL,0.006000000000000005,0.001732050807568879,0.013335736607712385,3,0.015924843200918085,-0.003924843200918075
NB_RCT_3_MON_LGN_TMS_AGV,0.005666666666666671,0.004163331998932269,0.07123171854047944,3,0.02952302070790019,-0.01818968737456685
ICO_CUR_MON_ACM_TRX_TM,0.005666666666666671,0.0032145502536643214,0.04630356421891979,3,0.024086396093582513,-0.012753062760249172
REG_CPT,0.0050000000000000044,0.002645751311064593,0.04100745397842158,3,0.020160448409591643,-0.010160448409591634
MON_12_TRX_AMT_MAX_AMT_PCTT,0.0050000000000000044,0.0017320508075688791,0.01887477567531187,3,0.014924843200918086,-0.004924843200918077
REG_DT,0.0043333333333333375,0.004163331998932269,0.10660210376527833,3,0.028189687374566858,-0.01952302070790018
OPN_TM,0.0043333333333333375,0.003055050463303896,0.06666666666666664,3,0.02183911127395967,-0.013172444607292992
AGN_CUR_YEAR_AMT,0.0040000000000000036,0.0017320508075688791,0.02859547920896833,3,0.013924843200918085,-0.005924843200918078
PUB_TO_PRV_TRX_AMT_CUR_YEAR,0.00366666666666667,0.0025166114784235852,0.06382162785502073,3,0.01808712951442955,-0.010753796181096212
MON_12_ACT_OUT_50_UP_CNT_PTY_QTY,0.00366666666666667,0.001527525231651948,0.026635368796871263,3,0.012419555636979836,-0.005086222303646495
MON_6_50_UP_ENTR_ACT_CNT,0.003333333333333336,0.0005773502691896263,0.004926228511662848,3,0.00664161440030603,2.5052266360642544e-05
COR_KEY_PROD_HLD_NBR,0.0030000000000000027,0.0020000000000000018,0.06084496717316007,3,0.014460221787429764,-0.008460221787429759
MON_12_EXT_SAM_NM_TRSF_OUT_CNT,0.002666666666666669,0.0020816659994661343,0.07836297864421604,3,0.01459484368728343,-0.00926151035395009
MON_12_ACT_IN_50_UP_CNT_PTY_QTY,0.002666666666666669,0.0023094010767585054,0.09175170953613696,3,0.015899790934557442,-0.010566457601224105
AI_STAR_SCO,0.0023333333333333353,0.0011547005383792527,0.03641367502723468,3,0.008949895467278722,-0.004283228800612052
AGN_CNT_RCT_12_MON,0.0023333333333333353,0.001527525231651948,0.059041448155901566,3,0.0110862223036465,-0.00641955563697983
CUR_YEAR_PUB_TO_PRV_TRX_PTY_CNT,0.0023333333333333353,0.0005773502691896263,0.009901970590196573,3,0.005641614400306029,-0.0009749477336393583
MON_12_EXT_SAM_AMT,0.0023333333333333353,0.0005773502691896263,0.009901970590196573,3,0.005641614400306029,-0.0009749477336393583
MON_12_CUST_CNT_PTY_ID,0.0013333333333333346,0.0015275252316519481,0.13485162832988923,3,0.010086222303646501,-0.007419555636979832
LGP_HLD_CARD_LVL,0.0013333333333333346,0.001527525231651948,0.13485162832988917,3,0.0100862223036465,-0.00741955563697983
NB_CTC_HLD_IDV_AIO_CARD_SITU,0.0013333333333333346,0.0005773502691896263,0.02859547920896832,3,0.004641614400306028,-0.001974947733639359
WTHR_OPN_ONL_ICO,0.0010000000000000009,0.0,0.5,3,0.0010000000000000009,0.0010000000000000009
SHH_BCK,0.0010000000000000009,0.0010000000000000009,0.11270166537925828,3,0.006730110893714882,-0.00473011089371488
CUR_YEAR_COUNTER_ENCASH_CNT,0.0006666666666666673,0.0011547005383792525,0.21132486540518713,3,0.007283228800612053,-0.005949895467278719
COUNTER_CUR_YEAR_CNT_AMT,0.0006666666666666673,0.0011547005383792525,0.21132486540518713,3,0.007283228800612053,-0.005949895467278719
HLD_FGN_CCY_ACT_NBR,0.0,0.0010000000000000009,0.5,3,0.005730110893714881,-0.005730110893714881
