CUST_UID,AGN_CNT_RCT_12_MON,ICO_CUR_MON_ACM_TRX_TM,NB_RCT_3_MON_LGN_TMS_AGV,AGN_CUR_YEAR_AMT,AGN_CUR_YEAR_WAG_AMT,AGN_AGR_LATEST_AGN_AMT,ICO_CUR_MON_ACM_TRX_AMT,COUNTER_CUR_YEAR_CNT_AMT,PUB_TO_PRV_TRX_AMT_CUR_YEAR,MON_12_EXT_SAM_TRSF_IN_AMT,MON_12_EXT_SAM_TRSF_OUT_AMT,MON_12_EXT_SAM_NM_TRSF_OUT_CNT,MON_12_EXT_SAM_AMT,CUR_MON_EXT_SAM_CUST_TRSF_IN_AMT,CUR_MON_EXT_SAM_CUST_TRSF_OUT_AMT,MON_12_CUST_CNT_PTY_ID,MON_12_TRX_AMT_MAX_AMT_PCTT,CUR_YEAR_MON_AGV_TRX_CNT,MON_12_AGV_TRX_CNT,MON_12_ACM_ENTR_ACT_CNT,MON_12_AGV_ENTR_ACT_CNT,MON_12_ACM_LVE_ACT_CNT,MON_12_AGV_LVE_ACT_CNT,CUR_YEAR_PUB_TO_PRV_TRX_PTY_CNT,MON_6_50_UP_ENTR_ACT_CNT,MON_6_50_UP_LVE_ACT_CNT,CUR_YEAR_COUNTER_ENCASH_CNT,MON_12_ACT_OUT_50_UP_CNT_PTY_QTY,MON_12_ACT_IN_50_UP_CNT_PTY_QTY,LAST_12_MON_COR_DPS_TM_PNT_BAL_PEAK_VAL,LAST_12_MON_COR_DPS_DAY_AVG_BAL,CUR_MON_COR_DPS_MON_DAY_AVG_BAL,CUR_YEAR_COR_DMND_DPS_DAY_AVG_BAL,CUR_YEAR_COR_DPS_YEAR_DAY_AVG_INCR,LAST_12_MON_DIF_NM_MON_AVG_TRX_AMT_NAV,LAST_12_MON_MON_AVG_TRX_AMT_NAV,COR_KEY_PROD_HLD_NBR,CUR_YEAR_MID_BUS_INC,AI_STAR_SCO,WTHR_OPN_ONL_ICO,EMP_NBR,REG_CPT,SHH_BCK,HLD_DMS_CCY_ACT_NBR,REG_DT,LGP_HLD_CARD_LVL,OPN_TM,NB_CTC_HLD_IDV_AIO_CARD_SITU,HLD_FGN_CCY_ACT_NBR
f5dcfe9b9e8d496d893cfcba8fcac1d4,4602.0,102.0,205.3,87638.2,87638.2,87638.2,25246672.6,2.0,6102.0,2.0,2.0,2.0,2.0,2.0,2.0,,3.1,192.0,170.3,572.0,49.5,1452.0,122.8,12.0,12.0,12.0,2.0,22.0,12.0,127776852.2,14013107.1,19937726.2,19937726.2,120294.7,15222473.9,17736396.2,42.0,5821.0,4,B,1202.0,167868812.0,32,12.0,2865.87,C,2061.68,C,12.0
68883d45646d44d8b851476058e4500d,,2292.0,1442.0,,,,324547596.7,2.0,2.0,152510219.2,153711037.6,632.0,-1200816.4,27000002.0,35500002.0,,2.3,1152.0,1027.0,4262.0,357.0,8042.0,672.0,,292.0,252.0,2.0,92.0,152.0,98238072.8,26281430.1,62706772.3,62706772.3,40421962.1,109854418.6,135372856.4,42.0,8866.1,5,B,2822.0,50000002.0,32,22.0,2066.52,,1640.39,,32.0
2b93dfa58f10463a937cd42cc42e54f7,90162.0,102.0,,76602120.6,76602120.6,60669325.8,147173922.3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Y,2.1,272.0,275.3,1272.0,107.8,2012.0,169.5,,282.0,322.0,2.0,72.0,22.0,151015172.4,9816357.7,7019872.5,7019872.5,-2938054.0,249528361.2,249618786.6,42.0,628.3,4,B,1742.0,,2,12.0,506.52,F,486.19,C,2.0
94fc13e16dac4642ab7544d8889e8579,3562.0,402.0,128.7,4868722.4,4099888.1,4099888.1,1825444.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Y,2.2,462.0,254.5,232.0,21.2,2802.0,235.3,,52.0,52.0,2.0,62.0,52.0,4508052711.0,220600345.0,635059193.8,55059193.8,462058211.6,640730841.0,787397507.7,52.0,27447.8,5,B,102.0,1000000002.0,32,32.0,943.61,F,934.58,D,2.0
6be5af4911964a31a0b5cf115799ace6,412.0,12.0,58.7,9000002.0,9000002.0,9000002.0,9000002.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,42.0,42.8,162.0,15.3,332.0,29.5,,12.0,52.0,2.0,12.0,22.0,88163494.6,11298128.2,2705598.7,2705598.7,-9268573.2,19887857.6,19887857.6,32.0,246.7,3,B,12.0,10000002.0,12,12.0,282.0,,182.32,D,2.0
43e67142621a4c1386a94db35c4ada5c,602.0,12.0,108.7,2156596.2,,2156596.2,19.6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Y,2.6,182.0,96.2,82.0,8.7,1052.0,89.5,,12.0,2.0,2.0,2.0,12.0,50000002.0,7690501.4,8275531.4,8275531.4,1287885.2,8319224.7,9082386.9,42.0,1660.0,4,B,502.0,14011952.0,12,22.0,1146.52,,35.23,D,2.0
63bddc5cf0ef497cbe7df48b84366e4e,,,188.7,,,,,,,127900002.0,918500002.0,222.0,-790599998.0,,,,,,31.2,92.0,9.5,262.0,23.7,,42.0,102.0,,22.0,32.0,348995232.5,19068656.6,5445197.5,5445197.5,-13697355.9,78081673.8,165281673.8,22.0,246.6,5,A,502.0,100000002.0,32,12.0,230.39,B,205.23,,2.0
489dd886e8e542d983d6bb99b7f07024,,322.0,195.3,,,202692.8,2122067.9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,442.0,122.0,292.0,26.2,1152.0,97.8,,22.0,12.0,2.0,32.0,22.0,69546045.0,4447674.5,2144411.9,2144411.9,-2403317.5,9353605.4,9353605.4,22.0,385.1,3,B,52.0,385000002.0,12,12.0,831.03,,824.26,,2.0
ecdc426dc3ae461d874e7054d8b7b02b,4882.0,12.0,55.3,33032185.2,33032185.2,30357672.2,20000002.0,2.0,2.0,20000002.0,20100002.0,22.0,-99998.0,2.0,20000002.0,Y,2.0,102.0,44.5,82.0,8.7,432.0,37.8,,32.0,52.0,2.0,12.0,12.0,43955201.5,7353426.8,12782458.8,12782458.8,5893125.9,9153190.5,12494857.2,42.0,55713.6,5,B,2182.0,200000002.0,32,22.0,3046.52,F,1882.32,,2.0
57258ea8a18e40f699da1b8ace9ec28b,,,,,,,,,,2.0,2.0,2.0,2.0,,,Y,2.0,,71.2,772.0,66.2,62.0,7.0,,2.0,12.0,,22.0,2.0,5454189738.0,5250550410.0,5226024220.0,1108856298.0,-24643056.2,6175182.1,774717728.9,12.0,2.0,1,,2.0,,2,62.0,242531.68,,2473.61,,2.0
